author,335983,354912,519182,533535,580489,889737,933260,945961,1022789,1184918
Brent Marchant,0.0,0.0,0.0,6.0,0.0,6.0,5.0,0.0,0.0,6.0
Chris Sawin,0.0,0.0,7.0,7.0,5.0,0.0,0.0,0.0,6.0,0.0
CinemaSerf,0.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0
Louisa Moore - Screen Zealots,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Manuel São Bento,5.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,0.0,6.0
MovieGuys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
TheSceneSnobs,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0
aGoryLouie,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
griggs79,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
r96sk,6.0,7.0,0.0,6.0,5.0,7.0,6.0,6.0,0.0,0.0
