author,335983,354912,519182,533535,580489,889737,933260,945961,1022789,1184918
Brent Marchant,5.4639268399708385,6.460673052462514,6.229191540154933,,5.0,,,5.648030906350163,6.0,
Chris Sawin,6.0,6.336367602408283,,,,6.197305516956333,5.769966826140762,5.5147535024178005,,6.0
CinemaSerf,5.544353420989253,,,,,,,,,
Louisa Moore - Screen Zealots,5.43479181236938,6.385139852157392,,5.934851008946414,5.000000000000001,5.9230185589930455,6.000000000000001,,6.000000000000001,6.000000000000001
Manuel São Bento,,6.520043330397926,5.626693615870358,5.723466206603489,5.0,,,,6.0,
MovieGuys,5.434791812369379,6.556102478110822,5.27616873698473,5.556102478110822,5.0,5.903184703878159,6.0,,6.0,6.0
TheSceneSnobs,5.999999999999999,6.269252856394539,,,5.0,6.141712235010518,5.723852917792417,5.502699883386311,,6.000000000000001
aGoryLouie,5.666674989232684,6.5523305066773165,6.312344877362267,,5.0,,5.638544675308056,5.649204426840282,6.0,6.0
griggs79,5.434791812369379,6.510757665693385,5.999999999999999,5.694807997948473,5.000000000000001,5.932421350162933,,5.705977123632326,5.999999999999999,6.0
r96sk,,,6.027716609318394,,,,,,6.0,6.0
